_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c49278,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587b89d86ca9e2c02028,IRUVARAM,930504,0,0,0,0,1,5,0,6,0,0,0,0,6,0,0,0,6,0,6,3,3,0,6,3,3,0,0,4,2
68e945628d6bb3c8b5c49279,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587b89d86ca9e2c0202d,GREAMSPETA,930503,0,8,4,2,4,7,1,2,10,9,3,0,9,4,8,0,5,0,13,7,6,9,4,12,1,11,1,10,3
68e945628d6bb3c8b5c4927a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587c89d86ca9e2c02032,Krishnapuram,596702,0,8,9,6,5,6,4,3,10,11,6,0,8,9,15,0,2,0,17,6,11,8,9,15,2,16,1,11,6
68e945628d6bb3c8b5c4927b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587c89d86ca9e2c02037,Bakara Narasinga Rayani Peta,596699,0,20,21,16,14,10,22,1,18,28,13,0,20,21,1,1,39,0,41,28,13,28,13,34,7,38,3,35,6
68e945628d6bb3c8b5c4927c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587c89d86ca9e2c0203c,Peddisettipalle,596709,0,29,19,15,16,17,23,3,24,30,21,2,29,17,0,0,48,0,48,31,22,39,13,46,7,45,6,48,5
68e945628d6bb3c8b5c4927d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587c89d86ca9e2c02041,Chinthalagunta,596716,0,8,3,2,4,5,6,1,4,10,1,0,8,3,2,0,9,0,11,7,4,10,1,10,1,7,4,11,0
68e945628d6bb3c8b5c4927e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587d89d86ca9e2c02050,Thalambedu,596717,0,38,13,15,21,15,8,32,11,46,5,0,38,13,3,0,48,0,51,21,30,23,28,46,5,43,8,18,33
68e945628d6bb3c8b5c4927f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587d89d86ca9e2c02055,Kurchivedu,596722,0,4,3,2,3,2,7,0,0,7,0,0,4,3,0,0,7,0,7,2,5,3,4,7,0,7,0,6,1
68e945628d6bb3c8b5c49280,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587d89d86ca9e2c0205a,Guvvakallu,596704,0,5,2,2,4,1,2,0,5,7,0,1,5,1,1,0,6,0,7,1,6,7,0,6,1,7,0,7,0
68e945628d6bb3c8b5c49281,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587d89d86ca9e2c0205f,Perumalla Khandriga,596715,0,15,10,6,9,10,9,4,12,20,5,0,15,10,3,0,22,0,25,15,10,16,9,22,3,22,3,21,4
68e945628d6bb3c8b5c49282,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587e89d86ca9e2c02064,Varadarajulapalle,596714,0,4,1,1,3,1,1,1,3,4,0,0,4,1,0,0,5,0,5,2,3,3,2,5,0,3,2,5,0
68e945628d6bb3c8b5c49283,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587e89d86ca9e2c02069,Thenebanda (Part),596693,0,24,28,30,4,18,32,6,14,45,6,0,23,29,0,0,52,0,52,37,15,44,8,46,6,44,8,48,4
68e945628d6bb3c8b5c49284,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587e89d86ca9e2c0206e,Ayanavedu,596695,0,6,3,3,2,4,4,2,3,8,1,0,6,3,0,0,9,0,9,5,4,4,5,7,2,9,0,3,6
68e945628d6bb3c8b5c49285,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587e89d86ca9e2c02073,S.Venkatapuram,596721,0,9,5,6,7,7,7,7,6,9,5,0,14,6,0,0,20,0,20,13,7,11,9,18,2,12,2,15,5
68e945628d6bb3c8b5c49286,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587e89d86ca9e2c02078,GANDLAPALLE,930502,0,3,1,3,0,1,2,0,2,3,1,0,3,1,0,0,4,0,4,2,2,1,3,4,0,4,0,3,1
68e945628d6bb3c8b5c49287,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587f89d86ca9e2c0207d,Gollapalle,596703,0,2,0,0,1,1,0,1,1,2,0,0,2,0,0,0,2,0,2,1,1,2,0,2,0,2,0,2,0
68e945628d6bb3c8b5c49288,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587f89d86ca9e2c02082,Bandapalle,596701,0,2,2,0,1,3,1,1,2,3,1,0,2,2,0,0,4,0,4,0,4,3,1,3,1,3,1,2,2
68e945628d6bb3c8b5c49289,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587f89d86ca9e2c02087,Anagallu,596697,0,27,19,24,5,17,13,1,32,44,1,1,28,17,3,0,43,0,46,27,19,29,17,34,4,41,5,22,24
68e945628d6bb3c8b5c4928a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9587f89d86ca9e2c02091,Arathala,596700,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4928b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9588089d86ca9e2c0209b,Diguvamasapalle,596694,1,28,24,26,5,19,18,11,24,49,3,1,27,25,6,0,47,0,53,32,21,32,21,46,7,44,9,33,20
68e945628d6bb3c8b5c4928c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9588089d86ca9e2c020a0,Ananthapuram,596718,0,2,1,2,1,0,1,2,0,3,0,0,2,1,0,0,3,0,3,1,2,1,2,3,0,3,0,1,2
68e945628d6bb3c8b5c4928d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9588089d86ca9e2c020a5,Venkatapuram,596724,0,7,13,5,7,8,13,1,6,7,13,0,7,12,0,0,18,0,18,8,12,16,4,19,1,16,4,19,1
68e945628d6bb3c8b5c4928e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9588189d86ca9e2c020b9,Thumminda,596710,0,28,14,10,16,15,13,5,24,32,10,0,28,14,1,0,41,1,41,34,8,34,8,35,7,36,6,38,4
68e945628d6bb3c8b5c4928f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9588289d86ca9e2c020d2,Siddampalle,596711,0,2,0,1,1,0,0,0,2,2,0,0,2,0,0,0,2,0,2,1,1,2,0,2,0,2,0,2,0
68e945628d6bb3c8b5c49290,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9588289d86ca9e2c020d7,Mangasamudram (CT),596725,0,0,0,3,2,8,0,10,3,0,0,0,11,2,0,0,13,0,13,10,3,0,13,9,4,0,0,6,7
68e945628d6bb3c8b5c49291,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9588389d86ca9e2c020e1,Lakshmambapuram,596713,0,4,2,2,0,4,0,2,4,3,3,0,4,2,0,0,6,0,6,3,3,3,3,6,0,6,0,0,6
68e945628d6bb3c8b5c49292,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9588389d86ca9e2c020e6,Narigapalle,596712,0,7,7,7,2,5,4,0,10,14,0,0,7,7,11,0,3,0,14,9,5,9,5,14,0,11,3,12,2
68e945628d6bb3c8b5c49293,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3dd,CHITTOOR,4755,63f9588389d86ca9e2c020eb,Anupalle,596705,0,3,16,12,3,4,10,0,9,14,5,0,3,16,3,0,16,0,19,9,10,10,9,18,1,17,2,13,6
