_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c491de,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585789d86ca9e2c01cc8,Diguvapalle,596510,1,25,17,6,3,34,4,3,36,40,3,0,26,17,0,0,43,0,42,24,19,30,13,38,5,42,1,29,14
68e945628d6bb3c8b5c491df,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585789d86ca9e2c01ccd,A.Kothakota,596522,0,29,7,5,4,27,4,2,30,28,8,0,30,6,0,0,36,0,36,22,14,22,14,33,3,35,1,24,12
68e945628d6bb3c8b5c491e0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585889d86ca9e2c01cd2,Settipeta,596517,0,14,1,5,1,9,1,1,13,15,0,0,14,1,0,0,15,0,15,11,4,12,3,15,0,13,2,13,2
68e945628d6bb3c8b5c491e1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585889d86ca9e2c01cd7,Pudipatla,596518,0,29,3,4,1,27,7,2,23,23,9,0,29,3,0,0,32,0,32,21,11,24,8,30,2,31,1,25,7
68e945628d6bb3c8b5c491e2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585889d86ca9e2c01cdc,Katiperi,596520,0,30,8,3,1,34,2,7,29,31,7,1,29,8,0,1,37,0,38,24,14,28,10,34,4,35,3,25,13
68e945628d6bb3c8b5c491e3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585889d86ca9e2c01ce1,Kogathi,596511,0,27,2,4,2,24,1,1,28,25,5,0,28,2,0,2,28,0,30,13,17,17,13,28,2,30,0,17,13
68e945628d6bb3c8b5c491e4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585889d86ca9e2c01ce6,Chowdepalle,596515,0,35,14,8,2,40,6,3,41,45,5,1,33,15,0,0,48,1,48,34,16,35,15,48,2,49,1,30,20
68e945628d6bb3c8b5c491e5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585989d86ca9e2c01ceb,Peddayallakuntla,596514,0,6,3,2,0,7,1,1,7,5,4,0,6,3,0,0,9,0,9,4,5,6,3,9,0,9,0,6,3
68e945628d6bb3c8b5c491e6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585989d86ca9e2c01cf0,Gaddamvaripalle,596513,0,47,25,9,10,53,9,5,58,56,16,0,49,23,0,1,70,0,72,45,27,52,20,64,8,69,3,46,26
68e945628d6bb3c8b5c491e7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585989d86ca9e2c01cf5,Charala,596524,0,34,0,2,4,28,1,0,33,30,4,0,33,0,0,0,34,1,33,22,12,22,12,29,5,34,0,21,13
