_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c493b2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958cf89d86ca9e2c0279e,Pasumanda,597083,0,13,17,5,8,17,19,5,6,11,19,3,13,14,3,0,27,0,30,23,7,20,10,26,4,29,1,26,4
68e945628d6bb3c8b5c493b3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958cf89d86ca9e2c027a3,Kothapalle,597075,0,22,19,13,12,16,22,7,12,11,30,0,22,19,4,0,37,0,41,28,13,25,16,35,6,37,4,30,11
68e945628d6bb3c8b5c493b4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958cf89d86ca9e2c027a8,Bandapalle,597078,0,2,4,2,3,1,2,3,1,0,6,0,2,4,1,0,5,0,6,6,0,6,0,5,1,6,0,5,1
68e945628d6bb3c8b5c493b5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d089d86ca9e2c027b2,Gudipala,597080,0,20,27,17,16,14,29,4,14,22,25,4,20,23,0,0,47,0,47,39,8,39,8,43,4,42,5,37,10
68e945628d6bb3c8b5c493b6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d089d86ca9e2c027b7,Basavapalle,597082,0,6,27,15,6,12,21,6,6,6,27,1,6,26,18,0,15,1,32,24,9,24,9,30,3,30,3,29,4
68e945628d6bb3c8b5c493b7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d089d86ca9e2c027bc,Krishna Jammapuram,597072,0,0,6,0,3,3,2,3,1,2,4,0,0,6,0,0,6,0,6,4,2,6,0,6,0,6,0,5,1
68e945628d6bb3c8b5c493b8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d089d86ca9e2c027c1,Muthukurpalle,597074,0,3,4,2,4,1,3,2,2,4,3,0,3,4,2,0,5,0,7,4,3,3,4,7,0,6,1,7,0
68e945628d6bb3c8b5c493b9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d189d86ca9e2c027c6,Chittapara,597079,0,17,19,18,10,8,16,2,18,16,20,3,17,16,0,0,36,0,36,16,20,23,13,30,6,32,4,32,4
68e945628d6bb3c8b5c493ba,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d189d86ca9e2c027cb,Vasanthapuram,597081,0,6,6,7,2,3,7,2,3,5,7,2,6,4,8,0,4,0,12,9,3,9,3,12,0,11,1,11,1
68e945628d6bb3c8b5c493bb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e5,GUDIPALA,4759,63f958d189d86ca9e2c027d0,Ragimanupatteda,597085,0,6,5,1,4,6,1,1,9,10,1,0,6,5,0,0,11,0,11,0,11,6,5,7,4,10,1,10,1
