_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c49307,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e7,GUDUPALLE,4760,63f958a189d86ca9e2c023a2,Agaram,596876,0,25,17,0,34,8,3,0,39,40,2,7,24,11,0,0,42,0,42,40,2,40,2,42,0,37,5,40,2
68e945628d6bb3c8b5c49308,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e7,GUDUPALLE,4760,63f958a189d86ca9e2c023a7,Vengepalle,596891,0,3,3,1,2,3,0,4,2,3,3,2,3,1,0,0,6,0,6,4,2,5,1,6,0,6,0,6,0
68e945628d6bb3c8b5c49309,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e7,GUDUPALLE,4760,63f958a189d86ca9e2c023ac,Kotamakanepalle,596901,0,9,0,2,2,5,2,1,6,6,3,0,9,0,0,0,9,0,9,7,2,6,3,9,0,7,2,8,1
68e945628d6bb3c8b5c4930a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e7,GUDUPALLE,4760,63f958a289d86ca9e2c023b1,Sodiganipalle,596906,0,31,11,37,0,5,26,0,16,40,2,6,30,6,0,0,42,0,42,38,4,27,15,41,1,40,2,40,2
68e945628d6bb3c8b5c4930b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e7,GUDUPALLE,4760,63f958a289d86ca9e2c023bb,Thalai Agraharam,596900,0,4,6,0,4,6,6,1,4,11,0,1,4,5,0,0,10,0,10,11,0,11,0,11,0,11,0,10,1
68e945628d6bb3c8b5c4930c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e7,GUDUPALLE,4760,63f958a389d86ca9e2c023ca,Peddaparthikunta,596899,0,2,2,0,4,0,0,4,0,4,0,2,1,1,0,0,4,0,4,4,0,1,3,4,0,4,0,4,0
68e945628d6bb3c8b5c4930d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e7,GUDUPALLE,4760,63f958a389d86ca9e2c023cf,Settipalle,596881,0,8,35,25,11,7,1,16,26,43,0,8,7,28,0,0,40,1,40,41,2,40,3,43,0,40,3,40,3
68e945628d6bb3c8b5c4930e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e7,GUDUPALLE,4760,63f958a389d86ca9e2c023d4,Irisiganipalle,596892,0,6,5,2,4,5,2,2,7,9,2,3,6,2,0,1,10,0,11,11,0,8,3,11,0,10,1,10,1
68e945628d6bb3c8b5c4930f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e7,GUDUPALLE,4760,63f958a389d86ca9e2c023d9,Kanamanapalle,596883,0,31,11,8,12,22,0,4,38,39,3,1,31,10,0,0,42,0,42,36,6,42,0,42,0,38,4,40,2
68e945628d6bb3c8b5c49310,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e7,GUDUPALLE,4760,63f958a389d86ca9e2c023de,Gundlasagaram,596884,0,39,3,9,11,22,1,22,19,37,5,0,39,3,0,0,41,0,42,36,6,22,20,40,1,39,3,40,2
68e945628d6bb3c8b5c49311,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e7,GUDUPALLE,4760,63f958a489d86ca9e2c023e3,Kakinayanichigurla Palle,596887,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c49312,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e7,GUDUPALLE,4760,63f958a489d86ca9e2c023ed,Dasimanipalle,596867,0,19,7,10,5,11,6,3,17,24,2,3,19,4,0,0,26,0,26,22,4,19,7,26,0,25,1,25,1
