_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c491c3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585089d86ca9e2c01c29,Irala,596485,0,64,21,32,17,36,31,6,48,78,7,0,62,23,2,0,83,0,84,55,30,67,18,85,0,80,5,78,7
68e945628d6bb3c8b5c491c4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585189d86ca9e2c01c33,Kaminayanipalle,596491,0,38,13,32,3,16,19,5,27,47,4,1,35,15,1,0,50,1,50,34,17,42,9,51,0,49,2,48,3
68e945628d6bb3c8b5c491c5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585189d86ca9e2c01c38,Kothapalle,596494,0,51,18,37,9,23,32,10,27,65,4,1,49,19,9,0,60,0,69,42,27,45,24,69,0,63,6,61,8
68e945628d6bb3c8b5c491c6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585189d86ca9e2c01c3d,Peddasamireddipalle,596483,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c491c7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585189d86ca9e2c01c42,Mudigolam,596493,0,46,22,31,13,24,34,8,26,61,7,2,45,21,8,0,60,0,68,38,30,51,17,67,1,65,3,58,10
68e945628d6bb3c8b5c491c8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585289d86ca9e2c01c47,Erlampalle,596487,0,47,18,23,12,30,26,15,24,59,6,2,47,16,8,0,57,0,65,45,20,50,15,64,1,62,3,55,10
68e945628d6bb3c8b5c491c9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585289d86ca9e2c01c4c,Chigarapalle,596495,0,27,11,17,7,14,17,4,17,35,3,0,25,13,2,1,35,0,38,23,15,31,7,38,0,36,2,36,2
68e945628d6bb3c8b5c491ca,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585289d86ca9e2c01c51,Gundlapalle,596482,0,41,26,34,12,21,29,9,29,58,9,0,39,28,0,0,67,0,67,40,27,54,13,66,1,62,5,58,9
68e945628d6bb3c8b5c491cb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585289d86ca9e2c01c56,Morampalle,596484,1,30,10,23,5,13,12,4,25,39,2,1,29,11,1,0,40,0,40,24,17,30,11,40,1,38,3,36,5
68e945628d6bb3c8b5c491cc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3e9,IRALA,4762,63f9585389d86ca9e2c01c60,Puthramaddi,596492,0,27,15,24,6,12,15,8,19,41,1,0,25,17,0,0,42,0,42,23,19,31,11,42,0,37,5,39,3
