_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c49327,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ac89d86ca9e2c02494,Rajanam,596949,0,6,1,4,0,3,2,0,5,6,1,0,6,1,0,0,7,0,7,5,2,5,2,7,0,6,1,6,1
68e945628d6bb3c8b5c49328,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ac89d86ca9e2c02499,Urinayanikothur,596946,0,5,1,6,0,0,3,1,2,5,1,0,5,1,0,0,6,0,6,5,1,5,1,6,0,4,2,5,1
68e945628d6bb3c8b5c49329,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ac89d86ca9e2c0249e,Mottakadirinur,596968,0,14,5,17,0,2,7,1,11,16,3,0,14,5,0,0,19,0,19,12,7,15,4,17,2,17,2,18,1
68e945628d6bb3c8b5c4932a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ac89d86ca9e2c024a3,Ponnangur,596971,0,20,0,8,3,9,3,8,9,16,4,0,20,0,0,0,20,1,19,14,6,16,4,20,0,20,0,16,4
68e945628d6bb3c8b5c4932b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ad89d86ca9e2c024a8,Kuppam (CT),596973,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4932c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ad89d86ca9e2c024ad,SAMAGUTTAPALLE,930522,0,10,6,9,1,6,2,4,10,14,2,1,9,6,0,0,16,0,16,14,2,13,3,16,0,16,0,14,2
68e945628d6bb3c8b5c4932d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ad89d86ca9e2c024b2,Pedda Boggupallle,596961,0,2,3,5,0,0,1,0,4,5,0,0,2,3,0,0,5,0,5,4,1,4,1,5,0,5,0,4,1
68e945628d6bb3c8b5c4932e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ad89d86ca9e2c024b7,T.Sadumur,596970,0,19,2,15,1,5,7,2,12,20,1,0,18,3,0,0,21,0,21,14,7,17,3,21,0,19,2,18,3
68e945628d6bb3c8b5c4932f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ad89d86ca9e2c024bc,Avulanatham,596967,0,14,5,12,3,4,14,1,4,16,3,0,13,6,0,0,19,0,19,13,6,14,4,19,0,19,0,17,2
68e945628d6bb3c8b5c49330,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ae89d86ca9e2c024c1,Gudlanayanipalle,596947,0,11,0,11,0,0,7,0,4,10,1,0,11,0,0,0,11,0,10,9,2,9,1,11,0,10,1,10,1
68e945628d6bb3c8b5c49331,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ae89d86ca9e2c024c6,Chinna Boggupalle,596962,0,7,0,4,1,2,4,2,1,6,1,0,6,1,0,0,7,0,7,5,2,6,1,7,0,6,1,7,0
68e945628d6bb3c8b5c49332,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ae89d86ca9e2c024cb,Chekkunatham,596965,0,35,8,37,1,5,15,8,20,39,4,2,35,6,1,0,42,1,42,34,9,33,9,41,1,40,2,39,4
68e945628d6bb3c8b5c49333,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ae89d86ca9e2c024d0,Nadimur,596955,0,33,2,8,10,17,17,0,18,28,7,0,31,3,0,0,35,0,34,28,7,28,5,35,0,33,2,34,1
68e945628d6bb3c8b5c49334,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958ae89d86ca9e2c024d5,Krishnadasanapalle,596948,0,10,1,6,1,4,1,2,8,9,2,0,10,1,0,1,10,0,11,8,3,9,2,10,0,10,1,11,0
68e945628d6bb3c8b5c49335,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958af89d86ca9e2c024df,Koormanipalle,596954,0,8,1,7,0,2,2,0,7,9,0,0,8,1,0,0,9,0,9,6,3,7,2,9,0,8,1,9,0
68e945628d6bb3c8b5c49336,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958af89d86ca9e2c024e4,Varamanur,596950,0,1,2,0,0,3,0,1,2,2,1,0,1,1,0,0,3,0,2,1,2,3,0,2,1,3,0,2,1
68e945628d6bb3c8b5c49337,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958af89d86ca9e2c024ee,Urlaobanapalle,596952,0,13,5,7,6,5,4,4,10,17,1,0,13,5,0,0,18,0,18,14,4,15,3,16,1,18,0,17,1
68e945628d6bb3c8b5c49338,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958b089d86ca9e2c024f3,Palarlapalle,596939,0,11,7,3,5,10,6,1,11,14,4,0,11,7,0,0,18,0,18,15,3,14,4,17,1,17,1,18,0
68e945628d6bb3c8b5c49339,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958b189d86ca9e2c024f8,Vendugampalle,596936,0,37,6,27,5,11,11,8,24,34,9,0,34,8,0,3,40,0,43,38,5,36,6,41,0,41,2,43,0
68e945628d6bb3c8b5c4933a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958b289d86ca9e2c02502,Bathalapalle,596944,0,4,1,3,0,2,0,2,3,5,0,0,4,1,0,0,5,0,5,4,1,4,1,5,0,5,0,5,0
68e945628d6bb3c8b5c4933b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958b289d86ca9e2c02507,Yanadipalle,596940,0,14,7,12,5,4,9,2,10,17,4,0,13,8,0,0,21,0,21,17,4,18,3,20,1,19,2,17,4
68e945628d6bb3c8b5c4933c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958b389d86ca9e2c0250c,Jarugu,596943,0,2,0,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,2,2,0,1,1,2,0,2,0,1,1
68e945628d6bb3c8b5c4933d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958b389d86ca9e2c02511,Boggupalle,596919,0,2,2,4,0,0,2,0,2,4,0,0,2,2,0,0,4,0,4,3,1,2,2,4,0,4,0,4,0
68e945628d6bb3c8b5c4933e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958b389d86ca9e2c02516,Nimmakampalle,596928,0,8,5,11,0,2,9,0,4,10,3,0,7,6,0,0,13,1,12,10,3,11,2,13,0,12,1,12,1
68e945628d6bb3c8b5c4933f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958b389d86ca9e2c0251b,Kungegowniyur,596932,0,14,7,9,0,12,9,1,11,20,1,0,14,7,0,0,21,0,20,16,5,17,4,21,0,19,2,19,2
68e945628d6bb3c8b5c49340,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958b389d86ca9e2c02520,Bevanapalle,596935,0,21,2,4,10,9,6,5,12,19,4,0,20,2,0,0,23,0,21,17,6,15,8,23,0,22,1,23,0
68e945628d6bb3c8b5c49341,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3ed,KUPPAM,4768,63f958b489d86ca9e2c02525,Kuttiganipalle,596926,0,10,2,6,2,4,3,1,8,10,2,0,9,3,0,0,12,0,12,9,3,10,2,12,0,11,1,12,0
