_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c49170,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3ef,NAGARI,4773,63f9583489d86ca9e2c01a41,TIRUMALARAJUKANDRIGA,930515,0,5,6,2,1,8,0,1,10,10,1,0,5,6,0,0,11,0,11,8,3,9,2,9,2,10,1,10,1
68e945628d6bb3c8b5c49171,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3ef,NAGARI,4773,63f9583489d86ca9e2c01a46,SATRAWADA,930513,0,8,10,1,7,10,5,0,13,5,13,0,8,10,0,0,18,0,18,14,4,14,4,17,1,18,0,14,4
68e945628d6bb3c8b5c49172,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3ef,NAGARI,4773,63f9583489d86ca9e2c01a4b,NAGARI,930510,0,2,1,2,0,1,0,1,2,3,0,0,2,1,0,0,3,0,3,2,1,3,0,2,1,2,1,2,1
68e945628d6bb3c8b5c49173,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3ef,NAGARI,4773,63f9583589d86ca9e2c01a55,NETTHAMKANDRIGA,930511,0,5,4,0,3,6,2,0,7,3,6,0,5,4,0,0,9,0,9,6,3,6,3,9,0,9,0,6,3
68e945628d6bb3c8b5c49174,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3ef,NAGARI,4773,63f9583689d86ca9e2c01a69,Mangadu,596385,0,34,12,4,15,27,5,3,38,35,11,0,35,11,0,0,45,0,46,31,15,36,10,44,2,42,4,29,17
68e945628d6bb3c8b5c49175,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3ef,NAGARI,4773,63f9583689d86ca9e2c01a73,Srinivasapuram,596397,0,12,7,7,0,12,5,4,10,15,4,0,12,7,1,0,18,0,19,14,5,15,4,18,1,19,0,14,5
68e945628d6bb3c8b5c49176,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3ef,NAGARI,4773,63f9583689d86ca9e2c01a78,Melapattu,596392,0,17,9,2,2,22,2,2,22,21,5,0,17,9,0,0,26,0,26,18,8,19,7,22,4,25,1,16,10
68e945628d6bb3c8b5c49177,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3ef,NAGARI,4773,63f9583789d86ca9e2c01a7d,Tiruvengamambapuram,596388,0,3,2,1,1,3,2,0,3,4,1,0,3,2,0,0,5,0,5,5,0,3,2,4,1,5,0,3,2
68e945628d6bb3c8b5c49178,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3ef,NAGARI,4773,63f9583789d86ca9e2c01a82,Mittapalem,596390,0,15,3,2,4,12,3,0,15,14,4,0,16,2,0,0,18,0,18,16,2,14,4,18,0,17,1,16,2
68e945628d6bb3c8b5c49179,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3ef,NAGARI,4773,63f9583789d86ca9e2c01a87,Oranthangal Gollakuppam,596402,0,32,16,5,8,34,3,3,42,35,12,0,33,15,0,0,48,0,48,37,11,36,12,45,3,46,2,35,13
