_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c49294,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588389d86ca9e2c020f2,PALAMANERU,930526,0,24,10,24,3,7,3,9,22,26,8,1,23,10,0,0,34,0,34,25,9,28,6,34,0,33,1,33,1
68e945628d6bb3c8b5c49295,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588489d86ca9e2c020f7,NAGAMANGALAM,930525,0,7,10,12,0,5,2,10,5,14,3,0,7,10,2,0,14,0,17,13,4,14,3,17,0,14,3,15,2
68e945628d6bb3c8b5c49296,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588489d86ca9e2c020fc,Karidimadugu,596740,0,27,8,28,0,7,9,5,21,29,6,4,26,5,0,0,35,0,35,25,10,24,11,34,1,34,1,31,4
68e945628d6bb3c8b5c49297,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588489d86ca9e2c02101,Ranganayanipalle,596728,0,9,7,10,1,5,5,8,3,15,1,0,9,7,0,0,16,0,16,12,4,13,3,15,1,16,0,15,1
68e945628d6bb3c8b5c49298,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588489d86ca9e2c02106,Baippagari Palle,596741,0,16,9,17,1,7,6,3,16,20,5,0,15,10,0,0,25,0,25,20,5,23,2,25,0,23,2,20,5
68e945628d6bb3c8b5c49299,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588589d86ca9e2c0210b,Moram (Part),596734,0,25,7,27,1,4,4,8,20,28,4,0,25,7,0,0,32,0,32,21,11,29,3,31,1,30,2,15,17
68e945628d6bb3c8b5c4929a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588589d86ca9e2c02110,Pengara Kunta,596730,0,48,17,57,3,5,7,6,52,59,6,1,44,20,0,0,65,0,65,51,14,51,14,63,2,60,5,51,14
68e945628d6bb3c8b5c4929b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588589d86ca9e2c02115,Samudrapalle,596731,0,72,14,36,23,27,14,26,45,77,9,0,69,17,0,0,86,0,86,57,29,66,20,85,1,80,6,78,8
68e945628d6bb3c8b5c4929c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588589d86ca9e2c0211a,Kurmoi,596732,0,29,17,29,5,12,10,8,28,44,2,3,26,17,0,0,46,2,44,25,21,39,7,45,1,44,2,36,10
68e945628d6bb3c8b5c4929d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588589d86ca9e2c0211f,Ayyamreddi Palle,596736,0,6,3,5,1,3,6,0,3,9,0,0,6,3,0,0,9,0,9,4,5,5,4,9,0,8,1,7,2
68e945628d6bb3c8b5c4929e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588689d86ca9e2c02124,Chethapenta,596742,0,2,3,3,0,2,2,0,3,4,1,0,2,3,0,0,5,0,5,4,1,4,1,5,0,5,0,3,2
68e945628d6bb3c8b5c4929f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588689d86ca9e2c02129,Kolamasana Palle,596739,0,23,9,26,0,6,5,3,24,28,4,1,22,9,0,0,32,0,32,25,7,22,10,32,0,30,2,27,5
68e945628d6bb3c8b5c492a0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588689d86ca9e2c0212e,Ankamvaripalle,596737,0,8,3,7,0,4,3,4,4,10,1,1,8,2,0,0,11,0,11,5,6,5,6,9,2,11,0,9,2
68e945628d6bb3c8b5c492a1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588689d86ca9e2c02133,Gundlapalle,596738,0,2,2,4,0,0,1,0,3,4,0,0,2,2,0,0,4,0,4,3,1,2,2,3,1,4,0,4,0
68e945628d6bb3c8b5c492a2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588689d86ca9e2c02138,Jallipeta,596733,0,25,9,21,1,12,16,2,16,30,4,0,23,11,0,0,34,0,34,24,10,29,5,34,0,33,1,28,6
68e945628d6bb3c8b5c492a3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588789d86ca9e2c0213d,Sree Ranga Rajpuram,596735,0,15,4,11,0,8,3,6,11,17,3,0,12,5,0,0,17,0,17,13,7,13,7,19,1,18,2,19,1
68e945628d6bb3c8b5c492a4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f3,PALAMANER,4778,63f9588789d86ca9e2c02142,Jagamarla,596729,0,21,12,25,0,8,13,5,15,32,1,1,21,11,0,0,33,0,33,21,12,24,9,30,3,31,2,32,1
