_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c493cf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d689d86ca9e2c02840,Vengalarajukuppam,597102,0,30,23,20,5,28,0,36,17,13,40,1,30,22,0,0,53,2,51,37,13,41,9,45,5,16,37,40,10
68e945628d6bb3c8b5c493d0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d689d86ca9e2c02845,Lakshminarasimha Puram,597103,0,11,3,8,3,3,0,13,1,2,12,0,11,3,0,0,14,1,13,11,3,11,3,13,1,1,13,12,2
68e945628d6bb3c8b5c493d1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d789d86ca9e2c0284a,Amudala,597104,0,18,2,9,1,9,1,13,6,7,13,0,18,2,0,0,20,0,20,14,6,15,5,19,1,7,13,15,5
68e945628d6bb3c8b5c493d2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d789d86ca9e2c0284f,Amudalaputhur,597106,1,13,0,6,1,7,0,12,2,2,12,0,14,0,0,1,13,0,14,11,3,10,4,13,1,2,12,12,2
68e945628d6bb3c8b5c493d3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d789d86ca9e2c02854,Gangamambapuram,597113,0,4,2,3,1,2,2,4,0,2,4,0,4,2,0,0,6,2,4,5,1,5,1,5,1,2,4,5,1
68e945628d6bb3c8b5c493d4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d789d86ca9e2c02859,Kaverirajupuram,597105,0,1,1,0,0,2,0,1,1,1,1,0,1,1,0,0,2,0,2,2,0,1,1,2,0,1,1,2,0
68e945628d6bb3c8b5c493d5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d789d86ca9e2c0285e,Narasimhapuram @ A.Khandriga,597111,0,24,7,15,6,10,0,29,2,3,28,0,24,7,0,0,31,1,30,5,12,6,11,15,2,3,28,7,10
68e945628d6bb3c8b5c493d6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d889d86ca9e2c02863,Tirumalarajupuram,597110,0,8,0,3,3,2,0,6,2,2,6,1,7,0,0,0,8,0,8,7,1,7,1,7,1,1,7,4,4
68e945628d6bb3c8b5c493d7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d889d86ca9e2c02872,Balakrishnapuram,597107,0,3,1,2,1,1,0,4,0,0,4,0,3,1,0,0,4,0,4,3,1,3,1,3,1,0,4,3,1
68e945628d6bb3c8b5c493d8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f5,PALASAMUDRAM,4779,63f958d889d86ca9e2c02877,Ramakrishnapuram,597108,0,26,13,15,8,16,2,24,13,16,23,0,26,13,0,0,39,1,38,28,11,31,8,35,4,16,23,31,8
