_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c49200,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9585e89d86ca9e2c01d76,Thurlapalle,596571,0,27,17,26,11,7,17,4,23,22,22,1,26,17,2,0,42,1,43,29,15,31,13,41,3,40,4,39,5
68e945628d6bb3c8b5c49201,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9585f89d86ca9e2c01d7b,Bommarajupalle,596567,0,22,21,29,2,12,23,2,18,37,6,0,22,21,0,0,43,0,43,34,9,34,9,39,4,41,2,40,3
68e945628d6bb3c8b5c49202,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9585f89d86ca9e2c01d80,Rayalapeta,596576,1,17,25,16,13,14,6,11,26,32,11,3,20,20,0,3,40,6,37,29,14,31,12,40,3,40,3,38,5
68e945628d6bb3c8b5c49203,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9585f89d86ca9e2c01d85,Nagireddipalle,596577,0,19,24,31,1,11,17,2,24,27,16,2,17,24,0,0,43,0,43,25,18,29,14,42,1,39,4,35,8
68e945628d6bb3c8b5c49204,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9585f89d86ca9e2c01d8a,Veerapalle,596572,0,13,2,7,0,8,3,3,9,6,9,0,13,2,0,0,15,0,15,13,2,12,3,15,0,13,2,13,2
68e945628d6bb3c8b5c49205,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9585f89d86ca9e2c01d8f,Kolathur,596574,0,29,13,22,9,11,8,14,20,33,9,0,30,12,0,0,42,0,42,32,10,28,14,42,0,37,5,38,4
68e945628d6bb3c8b5c49206,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586089d86ca9e2c01d94,Gamkonda,596575,1,18,24,25,6,12,16,6,21,27,16,1,18,23,0,0,42,0,43,38,5,35,8,29,14,37,6,41,2
68e945628d6bb3c8b5c49207,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586089d86ca9e2c01d99,Sankarayalapeta,596562,0,6,11,12,0,5,7,1,9,12,5,3,6,8,0,0,17,0,16,16,1,15,2,17,0,16,1,15,2
68e945628d6bb3c8b5c49208,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586089d86ca9e2c01d9e,Muthukur,596568,0,35,42,64,2,11,16,10,51,61,16,1,34,42,0,1,76,0,77,53,24,60,17,61,16,70,7,47,30
68e945628d6bb3c8b5c49209,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586089d86ca9e2c01da3,Nidigunta,596564,0,10,3,7,3,3,3,8,2,3,10,0,9,4,0,0,13,0,13,10,3,3,10,13,0,12,1,7,6
68e945628d6bb3c8b5c4920a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586089d86ca9e2c01da8,Chamaneru,596566,0,9,5,11,1,2,8,1,5,3,11,0,9,5,0,0,14,0,14,4,10,7,7,12,2,12,2,4,10
68e945628d6bb3c8b5c4920b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586189d86ca9e2c01dad,Peddavelagatur,596560,0,25,18,23,4,16,10,6,27,26,17,1,25,17,0,0,43,0,43,27,16,23,20,39,4,40,3,36,7
68e945628d6bb3c8b5c4920c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586189d86ca9e2c01db2,Mudarampalle,596565,0,8,4,6,4,2,4,2,6,2,10,0,8,4,0,0,12,0,12,3,9,8,4,10,2,11,1,3,9
68e945628d6bb3c8b5c4920d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586189d86ca9e2c01db7,Appinapalle,596561,0,19,22,26,5,10,19,1,21,14,27,0,18,23,0,0,41,1,40,26,15,30,11,39,2,39,2,38,3
68e945628d6bb3c8b5c4920e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586189d86ca9e2c01dbc,Battamdoddi,596558,0,22,26,35,4,9,21,8,19,44,4,0,22,26,0,0,48,1,47,24,24,36,11,45,3,42,6,37,11
68e945628d6bb3c8b5c4920f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586289d86ca9e2c01dc1,Karasanapalle,596559,0,28,14,33,2,7,16,10,16,24,18,3,28,11,0,0,42,0,42,40,2,31,11,39,3,36,6,39,3
68e945628d6bb3c8b5c49210,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586289d86ca9e2c01dc6,Sivadi,596563,0,7,7,8,6,0,5,0,9,10,4,0,7,7,0,0,14,0,14,10,4,12,2,12,2,13,1,12,2
68e945628d6bb3c8b5c49211,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586289d86ca9e2c01dcb,Chalamangalam,596569,0,22,23,32,5,8,15,8,22,40,5,2,22,21,0,0,45,0,45,32,13,37,8,42,3,43,2,41,4
68e945628d6bb3c8b5c49212,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586289d86ca9e2c01dd0,Peddakappalle,596578,0,31,11,31,7,4,13,5,24,31,11,1,28,13,0,0,42,0,42,37,5,34,8,34,8,41,1,39,3
68e945628d6bb3c8b5c49213,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586289d86ca9e2c01dd5,Kogileru,596579,0,30,18,18,12,18,17,6,25,35,13,0,28,20,1,0,47,0,48,33,15,34,14,46,2,43,5,44,4
68e945628d6bb3c8b5c49214,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586389d86ca9e2c01dda,Peddapanjani,596570,0,35,7,27,4,11,14,5,23,26,16,0,35,7,0,0,42,0,42,30,12,23,19,41,1,39,3,41,1
68e945628d6bb3c8b5c49215,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f7,PEDDAPANJANI,4781,63f9586389d86ca9e2c01ddf,Suddagundlapalle,596573,0,16,11,22,0,5,6,5,16,10,17,1,16,10,0,0,27,0,27,24,3,21,6,24,3,23,4,27,0
