_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4919f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584589d86ca9e2c01b62,Mopireddipalle,596449,0,15,2,5,2,10,3,6,8,14,3,0,14,3,0,0,17,0,17,13,4,13,4,16,1,16,1,16,1
68e945628d6bb3c8b5c491a0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584589d86ca9e2c01b67,Pulikallu,596457,0,28,13,18,2,21,7,8,26,36,5,1,31,9,0,0,41,0,41,31,10,35,6,39,2,39,2,39,2
68e945628d6bb3c8b5c491a1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584789d86ca9e2c01b6c,Sathambakam,596456,0,33,10,21,6,16,8,9,26,36,7,0,32,11,0,0,43,0,43,31,12,32,11,42,1,42,1,40,3
68e945628d6bb3c8b5c491a2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584789d86ca9e2c01b76,Samireddipalle,596451,0,34,9,15,11,17,8,2,33,35,8,0,34,9,1,0,42,0,43,36,7,27,16,38,5,40,3,38,5
68e945628d6bb3c8b5c491a3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584789d86ca9e2c01b7b,Chinnamareddi Khandriga,596452,0,24,17,27,0,14,19,1,21,37,4,0,23,18,0,0,41,0,41,33,8,28,13,41,0,39,2,38,3
68e945628d6bb3c8b5c491a4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584789d86ca9e2c01b80,Kondama Agraharam,596450,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c491a5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584889d86ca9e2c01b85,Penumuru,596445,0,51,37,52,7,29,37,5,46,76,12,0,49,39,0,0,88,0,87,63,25,65,23,87,1,82,6,80,8
68e945628d6bb3c8b5c491a6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584889d86ca9e2c01b8f,Chinthapenta,596441,0,21,14,14,3,18,14,1,20,25,10,0,18,17,0,0,35,0,35,27,8,20,15,34,1,33,2,31,4
68e945628d6bb3c8b5c491a7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584889d86ca9e2c01b94,Kaligiri,596453,0,28,9,15,5,17,6,10,21,30,7,0,26,11,0,0,37,1,36,31,6,25,12,35,2,35,2,34,3
68e945628d6bb3c8b5c491a8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584989d86ca9e2c01b99,Kalvagunta,596455,0,58,27,42,11,32,47,3,35,70,15,1,54,30,0,0,85,0,84,61,24,74,11,80,5,82,3,81,4
68e945628d6bb3c8b5c491a9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584989d86ca9e2c01b9e,Kamachinnaiahpalle,596446,0,67,17,51,4,29,30,7,47,77,7,1,59,24,0,1,83,0,84,69,15,60,24,84,0,77,7,72,12
68e945628d6bb3c8b5c491aa,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584a89d86ca9e2c01ba3,Chennasamudra Agraharam,596447,0,3,2,0,0,5,2,0,3,4,1,1,3,1,0,0,5,0,5,1,4,3,2,5,0,5,0,4,1
68e945628d6bb3c8b5c491ab,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584a89d86ca9e2c01ba8,Guntipalle,596448,0,28,14,19,5,18,5,14,23,36,6,1,27,14,0,0,42,0,42,29,13,31,11,40,2,40,2,40,2
68e945628d6bb3c8b5c491ac,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584b89d86ca9e2c01bad,Thathireddipalle,596443,0,5,3,5,0,3,1,1,6,7,1,1,5,2,0,0,8,0,8,7,1,7,1,8,0,7,1,7,1
68e945628d6bb3c8b5c491ad,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad1680216eb6c93e3f9,PENUMURU,4783,63f9584b89d86ca9e2c01bb2,Charvaganipalle,596444,0,15,3,4,3,11,2,5,11,17,1,0,13,5,0,0,18,0,18,12,6,14,4,18,0,17,1,18,0
